date,user_id,monthly_income,monthly_expense_total,savings_rate,budget_goal,financial_scenario,credit_score,debt_to_income_ratio,loan_payment
2020-11-21,1856,3281.77,2937.27,0.09,2975.45,normal,621.0,0.22,91.88
2020-12-21,1310,3642.2,1872.49,0.25,1972.05,normal,721.0,0.16,782.47
2021-01-20,1332,3463.41,3271.94,0.08,2743.33,normal,604.0,0.16,415.25
2021-02-19,1071,4599.21,3564.07,0.3,3528.02,inflation,657.0,0.37,385.63
2021-03-21,1371,3375.82,2627.31,0.07,3402.61,normal,661.0,0.23,885.3
2021-04-20,1938,4023.87,1360.32,0.17,3357.66,recession,740.0,0.21,470.65
2021-05-20,1260,4976.02,3902.74,0.27,2370.54,normal,535.0,0.43,1151.87
2021-06-19,1277,3874.19,2673.9,0.06,3160.19,inflation,709.0,0.42,359.9
2021-07-19,1446,3539.63,1192.31,0.07,2554.84,normal,731.0,0.4,680.77
2021-08-18,1917,2832.28,4716.8,0.39,2712.04,normal,648.0,0.23,346.02
2021-09-17,1209,3456.66,2910.41,0.3,3457.95,normal,611.0,0.48,492.74
2021-10-17,1896,2954.93,5011.59,0.19,3533.22,inflation,696.0,0.35,324.05
2021-11-16,1335,4374.48,4704.11,0.2,2581.05,normal,666.0,0.28,791.63
2021-12-16,1604,3185.98,1721.25,0.15,2148.24,normal,613.0,0.32,421.45
2022-01-15,1895,3150.47,2759.67,0.05,2711.72,inflation,753.0,0.16,538.51
2022-02-14,1662,3797.06,2792.7,0.37,2453.8,inflation,690.0,0.34,372.48
2022-03-16,1461,3152.89,1886.08,0.13,3334.43,inflation,754.0,0.54,728.33
2022-04-15,1243,4953.73,3013.09,0.31,2929.87,inflation,651.0,0.56,1110.26
2022-05-15,1894,5299.48,2460.74,0.34,3367.14,recession,636.0,0.25,496.16
2022-06-14,1446,3266.25,1380.33,0.23,2511.99,normal,708.0,0.19,164.61
2022-07-14,1827,3805.09,2046.66,0.38,2905.7,normal,741.0,0.27,232.36
2022-08-13,1063,4695.21,4526.43,0.2,2232.93,normal,746.0,0.52,149.62
2022-09-12,1579,3062.59,2374.18,0.37,2715.38,normal,691.0,0.28,492.44
2022-10-12,1866,2567.88,2611.7,0.22,3408.13,normal,663.0,0.41,505.42
2022-11-11,1737,3564.15,2364.97,0.26,2846.31,inflation,711.0,0.14,544.1
2022-12-11,1370,3018.3,2843.89,0.18,2417.01,normal,635.0,0.36,722.82
2023-01-10,1807,4385.93,2446.52,0.37,2618.46,normal,718.0,0.19,608.8
2023-02-09,1214,3365.37,4409.87,0.28,2178.54,normal,683.0,0.22,626.78
2023-03-11,1128,4797.98,3844.56,0.3,3441.53,normal,685.0,0.18,615.87
2023-04-10,1048,3940.12,3005.82,0.29,2963.31,normal,665.0,0.37,376.16
2023-05-10,1453,4576.18,2464.61,0.14,3021.33,recession,751.0,0.56,547.0
2023-06-09,1386,5111.08,3601.36,0.12,2685.73,inflation,698.0,0.21,260.95
2023-07-09,1962,5514.81,2614.04,0.08,3259.67,normal,703.0,0.11,809.86
2023-08-08,1701,3737.87,3199.86,0.31,1513.22,normal,647.0,0.18,345.65
2023-09-07,1978,2788.49,2128.48,0.19,2728.76,normal,671.0,0.14,921.83
2023-10-07,1410,3145.16,2220.45,0.32,3615.97,normal,608.0,0.52,537.63
2023-11-06,1389,3360.3,5853.2,0.12,3016.99,normal,693.0,0.57,565.83
2019-01-01,1997,2578.18,2314.4,0.07,2979.66,recession,771.0,0.33,487.37
2019-01-31,1577,4532.96,2762.25,0.36,2286.6,normal,664.0,0.37,509.45
2019-03-02,1965,6148.1,3555.9,0.25,2624.66,recession,660.0,0.13,978.84
2019-04-01,1333,1947.27,4457.39,0.26,2997.07,normal,669.0,0.46,687.79
2019-05-01,1608,2918.58,1340.14,0.32,2849.76,normal,657.0,0.35,534.33
2019-05-31,1527,4743.64,3230.18,0.3,3444.56,normal,759.0,0.59,447.11
2019-06-30,1461,2598.15,3477.97,0.25,3019.66,normal,666.0,0.48,450.99
2019-07-30,1905,3482.5,2302.83,0.33,2970.08,normal,630.0,0.15,704.13
2019-08-29,1925,4313.75,2613.77,0.33,2414.02,normal,616.0,0.27,459.07
2019-09-28,1120,2413.74,2468.21,0.36,1868.91,normal,728.0,0.23,775.44
2019-10-28,1942,3351.95,2206.76,0.16,3223.23,normal,731.0,0.33,615.16
2019-11-27,1061,4724.31,3619.56,0.06,2612.59,normal,622.0,0.53,477.56
2019-12-27,1857,4744.74,2737.26,0.08,2829.23,normal,734.0,0.44,473.71
2020-01-26,1178,4019.61,3348.09,0.09,2223.5,inflation,662.0,0.44,361.59
2020-02-25,1563,3366.47,4182.38,0.31,1874.76,normal,738.0,0.48,591.37
2020-03-26,1788,4236.25,1861.05,0.31,3863.63,recession,661.0,0.3,375.76
2020-04-25,1759,3391.04,4857.85,0.37,3028.27,inflation,726.0,0.17,420.55
2020-05-25,1718,2598.82,2864.59,0.13,2660.26,inflation,671.0,0.11,758.38
2020-06-24,1250,3511.52,3264.87,0.3,2937.08,recession,665.0,0.27,37.48
2020-07-24,1671,3735.72,3341.88,0.23,2812.9,recession,674.0,0.4,572.46
2020-08-23,1224,2829.98,2944.6,0.29,3228.37,inflation,695.0,0.41,558.19
2020-09-22,1947,2249.7,3320.08,0.36,2595.9,recession,644.0,0.45,563.4
2020-10-22,1538,5275.13,2932.46,0.31,3945.1,normal,661.0,0.4,743.21
2020-11-21,1070,5822.68,3179.36,0.21,3325.13,recession,628.0,0.2,507.93
2020-12-21,1568,2841.36,2155.87,0.26,2378.99,normal,786.0,0.36,441.54
2021-01-20,1561,5173.36,1901.57,0.26,2810.5,inflation,720.0,0.46,253.85
2021-02-19,1726,3916.1,3321.43,0.12,3274.45,normal,598.0,0.28,369.36
2021-03-21,1109,4870.59,3461.87,0.22,2200.37,inflation,643.0,0.25,371.28
2021-04-20,1532,3192.65,2536.07,0.15,3016.3,recession,629.0,0.28,428.2
2021-05-20,1433,4364.93,2068.6,0.32,2835.57,normal,630.0,0.18,524.35
2021-06-19,1469,4424.01,3273.45,0.39,2313.13,normal,734.0,0.41,399.9
2021-07-19,1942,3950.61,4145.59,0.08,3392.67,inflation,717.0,0.22,656.13
2021-08-18,1191,3552.09,2608.6,0.31,2597.95,normal,674.0,0.16,537.44
2021-09-17,1975,3780.84,2435.75,0.4,2923.72,normal,639.0,0.25,452.79
2021-10-17,1611,4348.0,2301.0,0.16,2533.29,normal,714.0,0.39,210.95
2021-11-16,1869,4451.58,2430.48,0.13,3152.31,recession,826.0,0.2,600.37
2021-12-16,1247,4514.39,2230.66,0.17,2506.81,normal,589.0,0.36,811.28
2022-01-15,1117,4224.96,2896.18,0.23,3389.0,recession,590.0,0.39,478.88
2022-02-14,1401,3522.96,3828.39,0.05,3072.32,inflation,682.0,0.36,279.02
2022-03-16,1805,5599.7,2721.35,0.34,2719.29,recession,523.0,0.15,586.9
2022-04-15,1808,4148.47,3669.69,0.36,2487.54,inflation,720.0,0.32,369.29
2022-05-15,1733,5173.72,3570.01,0.37,2631.98,normal,650.0,0.47,695.4
2022-06-14,1856,878.47,3711.08,0.12,2918.12,recession,694.0,0.29,766.45
2022-07-14,1317,5784.09,3430.15,0.17,3111.91,normal,721.0,0.39,708.76
2022-08-13,1491,3598.39,3003.42,0.14,2793.03,normal,652.0,0.5,594.12
2022-09-12,1643,3751.22,4491.63,0.14,3562.7,normal,672.0,0.48,210.01
2022-10-12,1865,4018.19,2347.54,0.36,3538.24,inflation,723.0,0.44,321.21
2022-11-11,1194,4405.6,2086.74,0.25,3067.48,inflation,667.0,0.31,690.36
2022-12-11,1889,3988.46,4850.38,0.23,3107.88,normal,726.0,0.39,503.97
2023-01-10,1760,2349.1,3478.14,0.24,3023.22,normal,741.0,0.6,547.97
2023-02-09,1845,3384.49,3124.1,0.08,2997.07,normal,611.0,0.19,297.28
2023-03-11,1300,2772.8,3557.14,0.36,3356.31,normal,640.0,0.47,363.99
2023-04-10,1942,3791.64,3048.59,0.29,3367.34,normal,665.0,0.12,436.53
2023-05-10,1639,5591.87,2156.97,0.16,2462.58,inflation,653.0,0.57,790.76
2023-06-09,1722,5463.62,2816.29,0.25,2446.48,normal,739.0,0.46,580.65
2023-07-09,1351,5500.56,2501.94,0.34,3216.31,normal,678.0,0.17,131.92
2023-08-08,1680,4786.28,2579.17,0.24,3106.51,normal,689.0,0.13,697.21
2023-09-07,1432,3035.68,2846.88,0.4,2889.28,inflation,631.0,0.53,610.9
2023-10-07,1077,2216.99,3393.73,0.33,3273.4,recession,718.0,0.27,977.65
2023-11-06,1848,4581.92,4121.99,0.39,2635.18,normal,680.0,0.51,475.71
2019-01-01,1254,2335.32,3350.56,0.06,2856.34,inflation,659.0,0.23,813.66
2019-01-31,1984,4529.28,3330.63,0.21,3601.6,normal,674.0,0.41,497.97
2019-03-02,1810,3107.16,2657.15,0.09,2755.0,normal,675.0,0.37,89.65
2019-04-01,1928,4721.11,3425.31,0.21,3193.98,normal,688.0,0.11,335.82
2019-05-01,1229,3908.56,3196.97,0.18,3962.26,recession,807.0,0.18,563.12
2019-05-31,1320,4813.79,2222.54,0.21,3386.62,normal,645.0,0.19,571.44
2019-06-30,1295,3797.07,3606.88,0.39,2300.44,normal,736.0,0.2,382.19
2019-07-30,1784,4018.31,1566.09,0.12,2757.69,normal,765.0,0.26,414.11
2019-08-29,1283,6187.45,3518.25,0.23,2703.76,inflation,676.0,0.22,733.8
2019-09-28,1567,2602.7,3487.53,0.38,2589.63,normal,654.0,0.19,306.94
2019-10-28,1634,3970.71,4435.95,0.15,2748.72,recession,676.0,0.44,640.58
2019-11-27,1800,4896.1,3404.36,0.24,2018.65,inflation,757.0,0.36,542.81
2019-12-27,1108,2149.49,3535.83,0.06,3321.08,normal,662.0,0.58,537.2
2020-01-26,1332,4425.12,2375.51,0.25,3099.92,normal,656.0,0.15,379.77
2020-02-25,1521,4516.16,3683.37,0.31,1824.49,inflation,685.0,0.23,297.37
2020-03-26,1749,4960.36,3565.49,0.35,2418.21,recession,654.0,0.57,781.6
2020-04-25,1244,3579.28,3564.95,0.08,3138.08,normal,578.0,0.55,697.35
2020-05-25,1852,4195.32,4528.08,0.06,3192.45,normal,722.0,0.43,789.01
2020-06-24,1353,3861.33,2315.84,0.36,2977.54,recession,677.0,0.29,434.62
2020-07-24,1370,4628.51,2707.27,0.17,3734.83,inflation,661.0,0.22,447.31
2020-08-23,1849,4985.68,3857.51,0.35,2972.64,normal,779.0,0.22,476.72
2020-09-22,1770,4960.6,3365.61,0.3,3305.15,normal,702.0,0.1,648.79
2020-10-22,1971,3400.45,2751.58,0.29,3033.65,normal,767.0,0.51,374.47
2020-11-21,1439,4381.57,3102.35,0.11,3022.66,normal,628.0,0.52,354.83
2020-12-21,1045,3925.11,3033.29,0.37,2635.8,normal,612.0,0.1,331.05
2021-01-20,1196,2046.45,4009.84,0.4,3060.09,normal,663.0,0.28,362.11
2021-02-19,1317,4301.87,2687.81,0.28,3167.77,normal,715.0,0.59,960.2
2021-03-21,1239,4030.27,4110.0,0.08,3068.57,normal,682.0,0.51,519.56
2021-04-20,1183,4628.88,3948.03,0.21,2901.07,recession,684.0,0.55,721.14
2021-05-20,1542,4199.72,3447.17,0.38,2524.56,recession,637.0,0.3,781.35
2021-06-19,1018,3727.2,2866.51,0.34,3024.36,normal,756.0,0.37,715.66
2021-07-19,1680,4566.2,2625.76,0.17,1714.73,inflation,718.0,0.36,698.12
2021-08-18,1715,3905.58,3644.25,0.34,2970.4,recession,742.0,0.56,493.53
2021-09-17,1191,4625.76,3753.91,0.17,2701.65,recession,727.0,0.3,128.14
2021-10-17,1419,4153.75,2946.18,0.37,2685.02,recession,680.0,0.31,577.34
2021-11-16,1287,2929.28,2062.0,0.18,3302.54,recession,769.0,0.35,736.25
2021-12-16,1701,2378.14,3431.58,0.09,3004.2,normal,609.0,0.53,0.0
2022-01-15,1528,2932.61,3926.52,0.16,2976.24,normal,714.0,0.18,463.01
2022-02-14,1271,4008.54,2737.67,0.23,2528.4,recession,629.0,0.15,587.48
2022-03-16,1119,4018.94,2129.49,0.26,3067.24,normal,652.0,0.57,727.8
2022-04-15,1322,4729.29,1401.51,0.33,2655.49,normal,636.0,0.38,115.85
2022-05-15,1863,4371.96,2455.72,0.36,2535.29,normal,760.0,0.17,346.45
2022-06-14,1510,4552.98,3002.22,0.1,2919.41,normal,657.0,0.41,560.19
2022-07-14,1199,4745.46,2585.7,0.2,2623.14,recession,682.0,0.42,654.38
2022-08-13,1260,4820.37,2712.34,0.07,2917.38,normal,724.0,0.48,340.47
2022-09-12,1005,5907.23,2670.07,0.31,2905.78,normal,688.0,0.15,558.97
2022-10-12,1145,5196.78,3775.28,0.05,2880.0,inflation,704.0,0.21,634.59
2022-11-11,1391,3008.33,2707.59,0.16,2970.39,recession,662.0,0.52,331.77
2022-12-11,1829,4589.2,2140.76,0.36,2019.69,inflation,682.0,0.46,245.8
2023-01-10,1578,4151.52,3116.6,0.22,2889.56,inflation,623.0,0.55,589.79
2023-02-09,1026,4517.63,2694.5,0.2,2979.15,recession,648.0,0.59,752.08
2023-03-11,1329,3282.64,3340.16,0.15,3883.44,normal,737.0,0.6,307.81
2023-04-10,1961,5793.84,3009.44,0.37,2895.1,recession,634.0,0.31,89.89
2023-05-10,1798,916.04,3094.28,0.26,2511.34,normal,680.0,0.18,409.43
2023-06-09,1822,3196.81,2748.36,0.24,2671.3,normal,576.0,0.39,425.05
2023-07-09,1623,3884.77,3691.02,0.34,3562.9,recession,640.0,0.22,762.35
2023-08-08,1615,6303.25,2367.02,0.39,3291.62,recession,690.0,0.34,627.34
2023-09-07,1161,6580.84,2714.76,0.12,2997.07,recession,657.0,0.47,232.56
2023-10-07,1358,2303.02,3598.26,0.3,2229.49,normal,663.0,0.44,455.64
2023-11-06,1676,3441.61,3902.53,0.18,2686.9,inflation,720.0,0.37,362.76
2019-01-01,1180,2739.6,3771.22,0.2,2381.32,inflation,699.0,0.12,202.75
2019-01-31,1384,3548.86,2081.26,0.15,2753.81,recession,641.0,0.46,481.66
2019-03-02,1585,4373.16,2110.01,0.09,3177.66,inflation,652.0,0.32,541.47
2019-04-01,1637,2884.4,2870.08,0.33,3144.62,inflation,707.0,0.14,292.64
2019-05-01,1844,4925.07,2916.49,0.28,2264.48,normal,684.0,0.37,626.16
2019-05-31,1038,3555.98,2493.91,0.17,3398.87,recession,716.0,0.27,466.59
2019-06-30,1776,2902.45,3733.93,0.26,2883.64,normal,651.0,0.36,211.78
2019-07-30,1236,4524.43,3708.33,0.16,3306.8,inflation,714.0,0.46,705.24
2019-08-29,1398,3624.63,2615.67,0.29,2958.93,normal,712.0,0.6,811.57
2019-09-28,1432,4636.99,2274.65,0.31,1541.2,recession,691.0,0.41,689.38
2019-10-28,1652,3828.64,2606.47,0.2,2631.87,normal,690.0,0.49,369.24
2019-11-27,1834,4317.9,4029.09,0.25,2380.06,normal,608.0,0.34,357.29
2019-12-27,1994,3518.17,2805.6,0.33,2453.71,inflation,697.0,0.13,347.13
2020-01-26,1314,4083.62,3354.56,0.09,2979.78,normal,636.0,0.42,300.91
2020-02-25,1950,4455.53,3308.17,0.32,2815.92,normal,720.0,0.54,402.27
2020-03-26,1982,3787.96,1551.83,0.19,3098.12,normal,627.0,0.41,712.19
2020-04-25,1891,3379.5,3878.12,0.12,2734.71,recession,616.0,0.58,215.77
2020-05-25,1484,4088.09,3620.7,0.34,2010.8,inflation,710.0,0.34,611.34
2020-06-24,1415,6821.53,3505.87,0.27,2737.23,normal,653.0,0.56,237.46
2020-07-24,1580,5869.52,3657.56,0.33,2996.28,normal,763.0,0.12,604.4
2020-08-23,1392,2646.33,2649.57,0.07,3068.22,normal,757.0,0.26,537.53
2020-09-22,1031,2979.88,4356.16,0.07,3101.58,normal,700.0,0.6,295.74
2020-10-22,1219,3914.16,2159.97,0.28,2840.27,recession,648.0,0.37,477.05
2020-11-21,1778,2476.92,1869.67,0.08,2292.18,inflation,598.0,0.21,587.83
2020-12-21,1697,4036.28,3829.82,0.35,2663.89,inflation,781.0,0.11,819.33
2021-01-20,1271,4712.15,3397.54,0.14,2981.73,normal,679.0,0.14,192.61
2021-02-19,1207,3789.06,2571.24,0.34,3195.33,normal,661.0,0.52,833.95
2021-03-21,1624,3647.49,3318.78,0.27,1786.74,normal,660.0,0.18,316.56
2021-04-20,1563,5012.67,2133.72,0.05,3351.43,normal,626.0,0.4,408.36
2021-05-20,1543,2824.81,3960.22,0.11,2458.07,normal,636.0,0.46,610.99
2021-06-19,1158,3652.62,3357.22,0.26,2534.24,normal,637.0,0.56,125.84
2021-07-19,1032,2831.05,1633.94,0.19,2877.03,normal,734.0,0.51,718.85
2021-08-18,1129,3913.95,3876.22,0.15,2955.47,inflation,691.0,0.5,624.62
2021-09-17,1124,5046.77,3509.69,0.23,2336.68,normal,664.0,0.16,572.28
2021-10-17,1760,3273.03,4972.57,0.19,2089.53,normal,752.0,0.6,369.34
2021-11-16,1260,3322.09,3557.36,0.11,2501.65,inflation,700.0,0.4,583.16
2021-12-16,1487,3873.44,2452.8,0.11,2152.96,normal,719.0,0.57,231.57
2022-01-15,1378,4283.67,2417.46,0.35,2988.46,normal,575.0,0.12,590.8
2022-02-14,1119,4741.24,2250.81,0.26,2820.0,inflation,769.0,0.56,569.44
2022-03-16,1804,3561.44,4684.11,0.09,3305.09,recession,765.0,0.37,541.53
2022-04-15,1243,3093.65,2327.95,0.05,2794.67,normal,684.0,0.47,639.45
2022-05-15,1050,1681.0,3932.68,0.05,2806.41,normal,674.0,0.59,952.51
2022-06-14,1333,4274.61,1909.03,0.31,2826.03,normal,757.0,0.51,535.78
2022-07-14,1122,3443.99,1600.36,0.17,2361.89,recession,704.0,0.54,694.32
2022-08-13,1223,2990.7,1765.16,0.19,2513.36,inflation,651.0,0.22,617.52
2022-09-12,1568,3688.35,3530.27,0.24,2616.2,recession,643.0,0.27,386.02
2022-10-12,1683,4431.8,2816.37,0.25,2584.6,normal,607.0,0.49,908.21
2022-11-11,1875,2482.74,2494.31,0.08,2043.34,normal,656.0,0.21,642.08
2022-12-11,1867,3893.7,4059.59,0.36,2105.37,inflation,720.0,0.52,548.56
2023-01-10,1932,4633.53,2293.26,0.19,3413.65,inflation,609.0,0.41,367.22
2023-02-09,1192,4343.46,3503.16,0.28,2243.33,normal,699.0,0.55,641.11
2023-03-11,1776,3214.42,3378.15,0.11,2470.65,inflation,748.0,0.45,577.77
2023-04-10,1259,2872.44,2272.67,0.35,2222.63,normal,680.0,0.49,441.3
2023-05-10,1777,2989.19,3440.24,0.21,2774.66,inflation,711.0,0.45,375.28
2023-06-09,1390,2402.24,3288.0,0.36,2014.06,recession,639.0,0.25,509.11
2023-07-09,1502,3919.48,4018.3,0.38,3114.94,normal,636.0,0.49,505.75
2023-08-08,1036,4850.12,1752.14,0.14,3573.38,normal,703.0,0.32,512.53
2023-09-07,1743,3969.26,2561.17,0.06,2352.22,normal,734.0,0.27,429.39
2023-10-07,1800,3390.22,3241.42,0.18,2988.99,inflation,717.0,0.56,629.2
2023-11-06,1037,4140.54,2259.24,0.38,2878.09,normal,695.0,0.48,580.84
2019-01-01,1165,4134.92,2963.51,0.19,3462.74,normal,647.0,0.59,308.83
2019-01-31,1391,3991.48,2873.48,0.27,2994.05,normal,705.0,0.44,780.34
2019-03-02,1867,4700.05,2531.95,0.05,2651.93,recession,671.0,0.41,513.77
2019-04-01,1639,4370.54,3943.51,0.06,2581.08,recession,736.0,0.34,499.46
2019-05-01,1502,3195.59,2605.17,0.26,2720.14,normal,621.0,0.45,767.7
2019-05-31,1113,3193.45,2559.28,0.38,3179.79,normal,725.0,0.52,288.28
2019-06-30,1953,4276.42,4024.49,0.1,2535.15,normal,706.0,0.36,295.44
2019-07-30,1311,3261.08,2935.4,0.05,2587.59,inflation,727.0,0.28,633.75
2019-08-29,1856,4344.02,2797.36,0.33,2189.92,normal,710.0,0.16,809.89
2019-09-28,1702,2981.02,1794.53,0.25,2942.05,recession,722.0,0.37,790.68
2019-10-28,1132,6056.93,3329.73,0.28,2610.68,normal,705.0,0.26,536.89
2019-11-27,1536,2565.16,3794.76,0.35,2632.0,recession,700.0,0.22,749.45
2019-12-27,1656,4371.67,3226.87,0.18,3120.73,normal,682.0,0.44,627.15
